extracted: 22156853 molecules, 1834103 edges, 324465 cells, 809069 shapes, 773437 patterns, 19266290 classes (91.5s)
pattern #3 stats: 773437 patterns, 2513974 alt entries, 1159098 distinct (chrom,offset) hops (2.17x hop sharing), 78.2% alts share the anchor's shape
section                 raw         zstd
meta                    120          109
chroms                 1996          260
cells               1297860      1294981
shapes              5250114      3115332
patterns           11590973      7824799
c0                  3228372       581693
c1                   574754       179061
c2                   464973       183694
c3                   418791       140572
c4                   370480       145919
c5                  1348978       469239
c6                   916094       324656
c7                   550196       210475
c8                   467078       186880
c9                   410742       164503
c10                  525274       196424
c11                 1076898       377990
c12                  192166        79145
c13                  404952       137228
c14                  296308        92224
c15                  102076        44398
c16                  222832        87618
c17                  115095        49321
c18                   34353        15419
c19                  495600       125738
c20                   21770        11158
c21                  206817        83213
c22                  298830       121304
c23                  952764       292423
c24                  272340        99270
c25                  172331        67098
c26                   44008        19249
c27                  523297       197544
c28                  295611       117218
c29                  372272       106145
c30                  303721       158111
c31                     264          216
c32                   23858        13852
c33                  627813       273776
c34                 1347577       536911
c35                 4167239      1098108
c36                  449579       169489
c37                  520231       190710
c38                  300648       111083
c39                  197152        80254
c40                  376824       154434
c41                  214460        84575
c42                  273685       106064
c43                  137582        60007
c44                    4011         2294
c45                  149650        54370
c46                  319407       124006
c47                  261723       105089
c48                  397005       159994
c49                  118565        49792
c50                  152268        60688
c51                   41465        18533
c52                  149035        63034
c53                  372917       141522
c54                  287247       114349
c55                  323716       130511
c56                   69651        30233
c57                  148240        58865
c58                  293140       120564
c59                   13740         6496
c60                  662798       198362
c61                   26981        11879
c62                  303864       120648
c63                   38715        17799
c64                   77993        32671
c65                  172595        67874
c66                  571787       226403
c67                  315872       122344
c68                  640884       152362
c69                  339977       137892
c70                  419829       148322
c71                  449846       158017
c72                   72501        28691
c73                 1181348       371412
c74                   57805        20798
c75                  451417       163055
c76                  237664        91553
c77                  486341       189212
c78                  291494       119997
c79                    6711         3847
c80                   21904         7262
c81                 1049865       361780
c82                 1110852       225746
c83                   58506        28473
c84                  525677       221766
c85                  302962       118494
c86                  110636        40121
c87                  196026        92819
c88                  250212       105451
c89                  112613        45707
c90                   77764        33424
c91                  152105        60588
c92                  184830        74835
c93                  192103        80604
c94                  198433        46790
c95                  294058       112505
c96                  196409        74234
c97                  144011        58905
c98                   64143        29443
c99                  268630       108713
c100                 151052        60257
c101                  68970        26167
