extracted: 22156853 molecules, 1834103 edges, 324465 cells, 809069 shapes, 773437 patterns, 19266290 classes (92.1s)
pattern #3 stats: 773437 patterns, 2513974 alt entries, 1159098 distinct (chrom,offset) hops (2.17x hop sharing), 78.2% alts share the anchor's shape
section                 raw         zstd
meta                    139          121
chroms                 1996          260
cells               1297860      1294981
shapes              5250114      3115332
patterns           11590973      7824799
c0                  3228384       556435
c1                   574766       181206
c2                   464982       180656
c3                   418801       141728
c4                   370488       143001
c5                  1348987       498531
c6                   916102       318540
c7                   550204       206822
c8                   467087       184250
c9                   410751       161994
c10                  525282       193045
c11                 1076906       387565
c12                  192175        78127
c13                  404961       134538
c14                  296317        90675
c15                  102083        43746
c16                  222841        86322
c17                  115104        48591
c18                   34361        15220
c19                  495612       138419
c20                   21778        10662
c21                  206826        82149
c22                  298839       119168
c23                  952776       318826
c24                  272348        98116
c25                  172340        65943
c26                   44016        19096
c27                  523306       194159
c28                  295620       115177
c29                  372282       106532
c30                  303732       145358
c31                     268          208
c32                   23866        12830
c33                  627825       261163
c34                 1347589       516383
c35                 4167248      1152936
c36                  449588       166338
c37                  520239       187080
c38                  300656       109653
c39                  197161        78828
c40                  376833       152789
c41                  214469        83298
c42                  273694       104441
c43                  137591        59344
c44                    4019         2202
c45                  149659        53842
c46                  319416       122353
c47                  261732       103750
c48                  397014       156149
c49                  118574        49062
c50                  152277        59735
c51                   41473        18286
c52                  149044        62138
c53                  372927       145606
c54                  287256       112444
c55                  323725       128769
c56                   69658        29655
c57                  148249        57823
c58                  293149       118526
c59                   13748         6351
c60                  662806       208784
c61                   26989        11746
c62                  303873       118777
c63                   38723        17583
c64                   78000        32486
c65                  172604        66886
c66                  571796       222975
c67                  315881       120489
c68                  640893       150477
c69                  339986       136018
c70                  419837       145937
c71                  449855       156126
c72                   72508        28841
c73                 1181356       394938
c74                   57813        20287
c75                  451426       160987
c76                  237673        89935
c77                  486349       185973
c78                  291503       117973
c79                    6719         3690
c80                   21912         7133
c81                 1049874       353855
c82                 1110861       218754
c83                   58514        27792
c84                  525686       217015
c85                  302971       117422
c86                  110642        39093
c87                  196035        89360
c88                  250220       103021
c89                  112622        45100
c90                   77771        33010
c91                  152114        59704
c92                  184838        73552
c93                  192112        79524
c94                  198440        45263
c95                  294067       110751
c96                  196418        73477
c97                  144020        58169
c98                   64150        29118
c99                  268639       106988
c100                 151061        59444
c101                  68978        26187
c102                 430639       142881
c103                 415722       144607
c104                 179474        70367
c105                 301122        82884
c106                  68193        30198
c107                 228249        90649
c108                  28573        13423
c109                 540940       202245
c110                 430714       171726
c111                 388170       138071
c112                  53212        23242
c113                 168120        32653
c114                 819590       279799
c115                  64018        28307
c116                 203387        81751
c117                1009690       309435
c118                 223326        90504
c119                 311200       112530
c120                 205494        82453
c121                  39403        17542
c122                 168253        62094
c123                 335388       130924
c124                1495282       460960
c125                 237383        94639
