extracted: 108747545 molecules, 6693867 edges, 1272230 cells, 2707616 shapes, 2841494 patterns, 91328227 classes (539.5s)
pattern #3 stats: 2841494 patterns, 8932077 alt entries, 4012603 distinct (chrom,offset) hops (2.23x hop sharing), 74.6% alts share the anchor's shape
section                 raw         zstd
meta                    143          120
chroms                 1996          260
cells               5088920      5084597
shapes             18169289     11009457
patterns           41933122     29903885
c0                 12767424      1765466
c1                  2539029       612088
c2                  1874493       508349
c3                  1078726       292163
c4                  1524081       414393
c5                  6829221      2052500
c6                  3956770       978901
c7                  2321372       620433
c8                  2007844       554762
c9                  1597910       452555
c10                 2069238       544508
c11                 5298899      1559852
c12                  661890       192714
c13                 1648198       363653
c14                 2095926       413247
c15                  362264       113627
c16                  838474       237045
c17                  440446       134623
c18                  129304        40793
c19                 2509051       567037
c20                  101687        36310
c21                  731957       206349
c22                 1499107       406937
c23                 4170723      1195428
c24                  964000       200297
c25                  801961       171067
c26                  137740        40496
c27                 1991558       515798
c28                 1201296       328527
c29                 1070879       260258
c30                 1596358       611996
c31                     883          529
c32                  130952        57106
c33                 2614897       872544
c34                 5642294      1694407
c35                11667288      2619496
c36                 1877209       495627
c37                 2011778       513896
c38                 1064151       279603
c39                  806711       230025
c40                 1603728       491680
c41                  809526       198829
c42                  989671       261975
c43                  575588       175115
c44                   14163         5983
c45                  557536       128366
c46                 1006865       290353
c47                 1331854       344355
c48                 1671510       448011
c49                  420837       130212
c50                  610989       158001
c51                  134316        42215
c52                  628930       179194
c53                 1926181       553985
c54                 1046680       296832
c55                 1134371       324612
c56                  326103        95477
c57                  707335       176527
c58                 1161089       335629
c59                   52920        17734
c60                 3356222       927259
c61                  111558        34653
c62                 1391059       374940
c63                  140734        47296
c64                  245799        74948
c65                  541262       148338
c66                 2196709       602629
c67                 1558177       384215
c68                 3140768       564787
c69                 1453056       412141
c70                 1422928       364884
c71                 2025319       443533
c72                  239033        64788
c73                 5808862      1658103
c74                  229107        50957
c75                 1833447       445770
c76                  838652       215639
c77                 1858427       498074
c78                 1142527       339336
c79                   25360        10244
c80                   15969         7026
c81                 5018554      1390480
c82                  700780       158343
c83                  283264        99315
c84                 2175857       674315
c85                 1184317       331715
c86                  494395       130816
c87                 1064070       382504
c88                 1231612       363813
c89                  463954       132460
c90                  333746       101245
c91                  587689       159028
c92                  779438       224506
c93                  704723       211610
c94                  870865       114055
c95                  944621       241089
c96                  493399       127520
c97                  513287       144801
c98                  237491        83169
c99                 1030595       284129
c100                 444255       126738
c101                 252487        62420
c102                1832237       428346
c103                1599005       403375
c104                 672604       187454
c105                 970805       183797
c106                 269900        90646
c107                 975400       265602
c108                 133006        44143
c109                2025997       529425
c110                1840226       522033
c111                1740406       506149
c112                 168547        54750
c113                 985347       100754
c114                3037364       749681
c115                 253886        79455
c116                 749826       215642
c117                4157318      1002654
c118                 768972       227079
c119                 857331       235583
c120                 764373       220366
c121                 170396        55374
c122                 474315       134565
c123                1306001       365477
c124                6998833      1878681
c125                 864224       238720
c126                3649452       997560
c127                 330357        98065
c128                 571615       156700
c129                 760461       216277
c130                2696391       831301
c131                3739567       963395
c132                1099559       320184
c133                5183758      1322552
c134                1115367       328484
c135                1230913       357247
c136                 324553        91171
c137                 353738       108343
c138                1713154       432918
c139                 301611        88642
c140                  31198        11900
c141                  52708        19165
c142                  58199        21490
c143                 138840        41201
c144                 471700       102820
c145                 187997        57157
c146                3293387       908866
c147                 395603       112202
c148                 465766       141843
c149                1010572       291029
c150                 392400       115633
c151                1266591       351713
c152                 478181       141147
c153                1655098       438261
c154                 371370       117379
c155                 938599       274765
c156                1302856       373713
c157                  70738        23583
c158                 898816       254350
c159                1372384       331440
c160                 720733       211517
c161                 864134       147333
c162                  89176        29869
c163                 878032       247948
c164                 322072        94768
c165                 476708       143874
c166                 699523       212863
c167                2101835       455630
c168                 409079       119835
c169                 948287       295749
c170                3727851      1001893
c171                1642599       480520
c172                 516167       151386
c173                 285369        87736
c174                 487860       141086
c175                 296707        87934
c176                 114371        35860
c177                 519021       153935
c178                  14546         6734
c179                  18406         8038
c180                5560236      1654572
c181                 713766       205980
c182                 306958        79139
c183                 538664       158371
c184                 548294       163060
c185                 396823       132537
c186                 130024        24327
c187                 216354        63716
c188                 332869       103049
c189                 830664       247645
c190                 954297       250320
c191                1420950       407111
c192                 568278       162929
c193                 738818       164090
c194                 103196        37041
c195                 575007       158728
c196                1189629       309719
c197                 474103       121394
c198                4342430      1131835
c199                 585016       136344
c200                 494636       162193
c201                 309224        99314
c202                  85655        29805
c203                 357763       110608
c204                  56316        10701
c205                1070663       327079
c206                 820444       227539
c207                 343072       106419
c208                7431458      2054360
c209                 793399       219558
c210                 223990        71891
c211                 209426        60986
c212                 151781        43495
c213                 270346        90928
c214                 210944        66380
c215                 121537        42956
c216                 169088        57871
c217                 414627       128205
c218                  94472        34948
c219                 483591       146912
c220                 195963        60543
c221                 284805        81422
c222                7015574      1615060
c223                 255542        74697
c224                 236262        92482
c225                  34918        14482
c226                  72013        28343
c227                1140284       339173
c228                1100928       332266
c229                3168308       730800
c230                  34933        12884
c231                 359313       102729
c232                3238380       540361
c233                 717750       174305
c234                 834501       237032
c235                 640214       197743
c236                2022844       727404
c237                1579281       447540
c238                2391569       654407
c239                6719622      1808809
c240                 685083       187866
c241                 352195       101254
c242                 650835       184514
c243                 684268       216569
c244                 231100        74595
c245                 121026        41330
c246                 975437       257683
c247                 563042       176751
c248                2146674       432894
c249                 247052        82670
c250                 204416        68074
c251                1423349       378841
c252                2403105       669276
c253                2051802       566525
c254                2050966       580703
c255                 321071       108967
c256                8126439      2490405
c257                 290206        90681
c258                 646378       191833
c259                 325006       100172
c260                1037885       268554
c261                2918436       529684
c262                2093030       520317
c263                2980570       868760
c264                2494057       828838
c265                 891084       248304
c266                 763652       219820
c267                 519386       154834
c268                1271864       351386
c269                 888567       262321
c270                 381180       116024
c271                2147611       582274
c272               11669570      3185506
c273               18346629      5419668
c274                1915548       501919
c275                2003732       584930
c276                 766753       239009
c277                  40361        16083
c278                 300455        91484
c279                 285119        98811
c280                 240360        70451
c281                  24362        10709
c282                 343687       110105
c283                2859345       685358
c284                 243403        76260
c285                 267437        83660
c286                 962499       302791
c287                1167818       323257
c288                  31827        12741
c289                 470981       148229
c290                 103049        35598
c291                 651327       199595
c292                1728827       484595
c293                 159896        50932
c294                 940671       263366
c295                 188871        57999
c296                 502961       143006
c297                 333268       109005
c298                8176917      2388063
c299                1232472       324528
c300                 446425       134617
c301                 875457       238375
c302                 859331       266763
c303                 454927       144890
c304                2290755       610649
c305                 779839       214526
c306                 525181       169461
c307                 351359       111510
c308                1077145       324091
c309                5909602      1766962
c310                 839561       207759
c311                 106686        35397
c312                 507348       150016
c313                7976410      2134559
c314                1415546       390869
c315                 730906       218546
c316                 803515       249217
c317                1300897       374471
c318                 827560       239867
c319                1920343       575537
c320                 418277       118577
c321                 401083       120978
c322                 477240       143454
c323                  25118        12019
c324                1702489       544712
c325                 162963        60311
c326                3508851      1344664
c327                1318435       434115
c328                 128600        43488
c329                 256351        83497
c330                 371505       112801
c331                 720463       228992
c332                1893712       562156
c333                3016669       962113
c334                2186152       581890
c335                 414439       120727
c336                 516478       137568
c337                 266249        79226
c338                 498963       105154
c339                 287855        85781
c340                3331433       925078
c341                1079357       272193
c342                1899638       471686
c343                2036630       632774
c344                 241158        94371
c345                1678064       470661
c346                 674919       211852
c347                 845505       244675
c348                 249475        86796
c349                 247153        75349
c350                 746857       230763
c351                 203215        83579
c352                 652033       198726
c353                 902166       258885
c354                 551451       167501
c355                1231033       326486
c356                 164998        51888
c357                1349418       329583
c358                 838964       248218
c359                 422849       128553
c360                 163147        52575
c361                 716162       216487
c362                1773669       553343
c363                 946690       249042
c364                 971402       299575
c365                 368245       112174
c366                2408921       746084
c367                 125360        41413
c368                 630908       167305
c369                 373409       121105
c370                 333021       105721
c371                 373802       118100
c372                5893051      1704435
c373                2604002       687008
c374                 291544        77566
c375                 741436       244281
c376                 228784        58102
c377                 658996       206219
c378                 552896       171114
c379                1013591       304229
c380                 710421       206433
c381                 457640       135777
c382                  66160        25504
c383                1877305       582178
c384                2696890       899537
c385                1044901       313924
c386                1033274       295754
c387                  28357        11521
c388                 319749       108536
c389                5137651      1526531
c390                 365355       113663
c391                 251281        76772
c392                 131948        46125
c393                2332036       677671
c394                1080354       321331
c395                 598035       247172
c396                     39           45
c397                 202653        92179
c398                 279228       127237
c399                 770653       235112
c400                 852233       227170
c401                1023516       275555
c402                 519674       160411
c403                 487582       150864
c404                 594628       174903
c405                1159910       362349
c406                1512879       458621
c407                 266277        85670
c408                 405693       119776
c409                 512416       167546
c410                 804422       234480
c411                  63945        21147
c412                1070886       330110
c413                6191699      1911321
c414                2676523       785130
c415                8214346      2444383
c416                1817526       568597
c417                 914227       241120
c418                1129757       352497
c419                 627246       173933
c420                1184630       366225
c421                1586953       430245
c422                 894649       258824
c423                1082284       322595
c424                 850606       253240
c425                 967804       298664
c426                 220585        75728
c427                 451921       127335
c428                 883244       316199
c429                 635753       210873
c430                  23499        11511
c431                 213713        68420
c432                1013833       301535
c433                 218171        67528
c434                2473655       642553
c435                2141129       634288
c436                4886052      1361530
c437                 338134        98525
c438                 979559       321308
c439                 525425       160038
c440                 609513       201427
