id	kind	logical_path	bytes	digest_scheme	digest	provenance_and_regeneration
A	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-A/sez.called.aie	110183760	blake3-full-file	029de28423c59a8b9ca283e73687a9501cd7533cfd508788b61b15e79b751463	SEZ donor A called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
B	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-B/sez.called.aie	83674178	blake3-full-file	4feced152203593f22ddb5a13207dbcd7dd0be42e08d229c5209a9433105e474	SEZ donor B called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
C	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-C/sez.called.aie	68177196	blake3-full-file	9067a7d94acc472085a882b139e512a8e28dd1b39f761f9b9d2b4c6c0a697076	SEZ donor C called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
D	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-D/sez.called.aie	397844161	blake3-full-file	4f69add3177ebee40584aea2b4c1e8e40a81a1b64a32c455c27e502cd1e0b1f9	SEZ donor D called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
E	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-E/sez.called.aie	64156624	blake3-full-file	3afe043952a1d1c1b4d831365d3c12b4bdbd2c040d09e4c5a99defde964d76e5	SEZ donor E called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
F	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-F/sez.called.aie	91947535	blake3-full-file	8850c98d1453965fbce69fbb5cad17a71ee8714e5c1d2303dabff1c4e1e8ec55	SEZ donor F called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
G	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-G/sez.called.aie	436377659	blake3-full-file	19e9672274ef24bb194926ac0fc66e3c3c1b788ece74f1e478e9e04f7a7ddee3	SEZ donor G called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
H	aie	runs/post-v1/sez-transcript-end-atlas-r1/donor-H/sez.called.aie	73675578	blake3-full-file	d26731d109a6c0b74afe95e32f1471a290fa8e274f1e75c4ec7e55d70673375c	SEZ donor H called-cell archive; regenerate with scripts/197_build_sez_full_archives.sh
D0	aie	runs/archive/d0.aie	111087381	sha256	d7c11d4258f7b78b5c3a20ebc5349e3a1f1f52a0279425701d14acbf79948842	Frozen D0 replay guard; regenerate through the v1 archive workflow
D0-v49	annotation	annotations/gencode.v49.annotation.gtf	3323462848	sha256	ff32fd55c6799b3b94fe10aa17b2b5d4da952fa1de12fe44afadf32e949ec914	Uncompressed GENCODE v49 GTF used for D0 Gene and Velocity replay
D0-barcodes	barcode-dictionary	runs/oracle/full/v49/Solo.out/Gene/raw/barcodes.tsv	115512960	sha256	843a6f7038db8cb3c06f3dc21cc69d04139ffa10689780518d7a9e42dc2e819b	STARsolo raw barcode order used by both D0 replay arms
