kind	path	bytes	sha256	regeneration
aie	runs/archive/d0.aie	111087381	d7c11d4258f7b78b5c3a20ebc5349e3a1f1f52a0279425701d14acbf79948842	scripts/40_ingest_align.sh plus aie ingest-archive; see PROVENANCE 8.3
aie	runs/archive/d1.aie	544022039	e8568b72525a84342203e062fc0f544baf84fcb2b346da7d50c8e1ba8e78c834	scripts/90_d1_reverify.sh
aie	runs/archive/d2.aie	439709823	86ca297bad4a86ce23a9b3f25e5bdcf339477b9c8282d03011bdb91e8507d957	scripts/96_d2_campaign.sh
aie	runs/archive/d2p.aie	595246459	b493523e1f6a05df05c656ca15c8791b2d5da2e42c8fe700950030c9886dc06c	scripts/97_d2p_campaign.sh
aie	runs/archive/d3.aie	1020831458	a7f2e83b36f49dbb93f0b0f5d3c0b3eadb1a92da149016e8779845b6bc2cc2b1	scripts/103_atlas_build.sh
aie	runs/archive/d4.aie	99050193	031330c0de6c18d0e93eacf76e2dd617db24dbab6b6d0dbb39c537dfefaf97e9	scripts/103_atlas_build.sh
cram	runs/gatee/ingest_annotation_free.cram	1404884801	6349ebc5a0bc24a566361bfa0c61c8d1ef3e63b0c37b56f23e8710bf07e0be21	scripts/50_gatee_baselines.sh
cram	runs/gatee/d1_ingest_annotation_free.cram	6522218605	c024a87ffbd9b7e003b2916c5094aed7f1201ded913069dc5d8a655d7a27c683	scripts/90_d1_reverify.sh
cram	runs/gatee/d2_ingest_annotation_free.cram	4159680836	d95b364d486d0ffd9860803fbb64ed145d520491423359827223880392b42a23	scripts/96_d2_campaign.sh
cram	runs/gatee/d2p_ingest_annotation_free.cram	5358214185	829dc1cd7121d09d3439656e4f24b31fdd22f36b50e36a359a15943cfb3a1241	scripts/97_d2p_campaign.sh
generated_gtf	annotations/withheld/w1.gtf	3269269109	e14e5080c46d027bfd013d7904c53a152656425f1717b7a62037baccf278440b	scripts/70_withhold_annotation.py
generated_gtf	annotations/gencode.v49.ext3p.gtf	3323462455	6028203e447e354c52a175c093f18557d35b52938793b273665868743e9c6a78	scripts/102_pool_extension.py
