class	gene	transcript	oracle_umis
gene	ENSG00000003056.9	-	1570
gene	ENSG00000003400.17	-	203
gene	ENSG00000006625.19	-	253
gene	ENSG00000007264.16	-	317
gene	ENSG00000012779.13	-	902
gene	ENSG00000019169.12	-	157
gene	ENSG00000023191.18	-	1800
gene	ENSG00000025434.20	-	25
gene	ENSG00000035403.19	-	548
gene	ENSG00000049768.19	-	20
gene	ENSG00000064607.18	-	500
gene	ENSG00000066135.14	-	78
gene	ENSG00000066583.13	-	128
gene	ENSG00000067082.16	-	9432
gene	ENSG00000069702.12	-	114
gene	ENSG00000070367.18	-	227
gene	ENSG00000070614.16	-	62
gene	ENSG00000073417.16	-	112
gene	ENSG00000074370.20	-	476
gene	ENSG00000075914.14	-	259
gene	ENSG00000076944.18	-	1858
gene	ENSG00000081154.12	-	770
gene	ENSG00000081189.18	-	1386
gene	ENSG00000081760.18	-	52
gene	ENSG00000082996.21	-	711
gene	ENSG00000087269.17	-	184
gene	ENSG00000088833.19	-	406
gene	ENSG00000089060.13	-	175
gene	ENSG00000089094.21	-	314
gene	ENSG00000090266.14	-	1633
gene	ENSG00000095261.15	-	130
gene	ENSG00000097033.16	-	738
gene	ENSG00000099949.23	-	97
gene	ENSG00000100036.13	-	22
gene	ENSG00000100485.13	-	278
gene	ENSG00000100911.17	-	1822
gene	ENSG00000101190.14	-	68
gene	ENSG00000101194.19	-	44
gene	ENSG00000101336.18	-	1226
gene	ENSG00000101347.12	-	2575
gene	ENSG00000102100.17	-	88
gene	ENSG00000102309.16	-	300
gene	ENSG00000102858.14	-	353
gene	ENSG00000104064.19	-	101
gene	ENSG00000104164.12	-	458
gene	ENSG00000104331.10	-	265
gene	ENSG00000104679.12	-	174
gene	ENSG00000104960.15	-	277
gene	ENSG00000104969.12	-	226
gene	ENSG00000105298.15	-	112
gene	ENSG00000105341.19	-	183
gene	ENSG00000105369.10	-	2372
gene	ENSG00000105497.9	-	42
gene	ENSG00000106526.13	-	34
gene	ENSG00000108298.13	-	41715
gene	ENSG00000108528.15	-	472
gene	ENSG00000108587.17	-	290
gene	ENSG00000108828.17	-	78
gene	ENSG00000110455.15	-	52
gene	ENSG00000110665.13	-	347
gene	ENSG00000110880.12	-	335
gene	ENSG00000111252.12	-	564
gene	ENSG00000112118.21	-	229
gene	ENSG00000112561.20	-	352
gene	ENSG00000112578.12	-	55
gene	ENSG00000112977.17	-	449
gene	ENSG00000113360.18	-	92
gene	ENSG00000113552.17	-	190
gene	ENSG00000113712.19	-	478
gene	ENSG00000113916.18	-	548
gene	ENSG00000114812.14	-	148
gene	ENSG00000115318.13	-	37
gene	ENSG00000115325.15	-	202
gene	ENSG00000115738.11	-	2178
gene	ENSG00000115761.18	-	289
gene	ENSG00000115970.20	-	162
gene	ENSG00000117425.16	-	668
gene	ENSG00000118369.14	-	30
gene	ENSG00000120539.16	-	88
gene	ENSG00000122008.17	-	551
gene	ENSG00000122390.20	-	270
gene	ENSG00000122952.18	-	27
gene	ENSG00000123096.13	-	73
gene	ENSG00000123136.16	-	649
gene	ENSG00000124570.22	-	879
gene	ENSG00000126457.23	-	710
gene	ENSG00000126458.5	-	275
gene	ENSG00000127586.18	-	23
gene	ENSG00000128512.24	-	22
gene	ENSG00000129636.14	-	320
gene	ENSG00000131061.16	-	26
gene	ENSG00000131370.17	-	615
gene	ENSG00000131871.16	-	670
gene	ENSG00000132604.12	-	142
gene	ENSG00000132635.18	-	158
gene	ENSG00000132716.20	-	364
gene	ENSG00000132906.19	-	68
gene	ENSG00000134461.17	-	51
gene	ENSG00000134954.15	-	1206
gene	ENSG00000135250.18	-	603
gene	ENSG00000135801.12	-	102
gene	ENSG00000135862.7	-	29
gene	ENSG00000136213.11	-	488
gene	ENSG00000137100.17	-	766
gene	ENSG00000137198.11	-	45
gene	ENSG00000137393.11	-	322
gene	ENSG00000138175.10	-	179
gene	ENSG00000139291.15	-	182
gene	ENSG00000139324.13	-	45
gene	ENSG00000139354.12	-	22
gene	ENSG00000140497.17	-	638
