gene_id	gene_name	effect_B_minus_A	q	eligible_samples	concordant	lodo_stable	stable_sign_gap12_gap48
ENSG00000148053.19	NTRK2	0.28189041	1.48174829e-05	8	8	1	1
ENSG00000245526.14	MIR9-2HG	-0.29661808	1.96489608e-05	8	8	1	1
ENSG00000085832.19	EPS15	0.22364498	0.000187129988	7	7	1	1
ENSG00000164402.15	SEPTIN8	0.22549021	0.000219280578	8	8	1	1
ENSG00000164904.19	ALDH7A1	0.11185124	0.00151461949	8	8	1	1
ENSG00000087258.18	GNAO1	0.15096842	0.00151461949	8	8	1	1
ENSG00000179915.25	NRXN1	0.11940299	0.00151461949	8	8	1	1
ENSG00000131016.18	AKAP12	0.14309011	0.00220314288	7	7	1	1
ENSG00000150672.19	DLG2	0.3286539	0.00220314288	7	7	1	1
ENSG00000198947.18	DMD	-0.18347694	0.00220314288	6	6	1	1
ENSG00000170248.16	PDCD6IP	0.1299069	0.00220314288	8	8	1	1
ENSG00000171735.21	CAMTA1	0.31409454	0.00220604337	8	8	1	1
ENSG00000154217.16	PITPNC1	0.1464805	0.00336611268	8	8	1	1
ENSG00000144040.14	SFXN5	0.20917114	0.00336611268	8	8	1	1
ENSG00000111907.21	TPD52L1	0.21735816	0.00336611268	8	8	1	1
ENSG00000110436.14	SLC1A2	0.1320098	0.00372925502	8	8	1	1
ENSG00000187391.23	MAGI2	0.17847237	0.00380355951	7	7	1	1
ENSG00000073803.15	MAP3K13	0.18056726	0.00380355951	6	6	1	1
ENSG00000242808.13	SOX2-OT	-0.18913928	0.00380355951	8	8	1	1
ENSG00000089916.19	GPATCH2L	0.14474973	0.00411184929	7	7	1	1
ENSG00000112137.19	PHACTR1	-0.16677587	0.00411184929	8	8	1	1
ENSG00000145725.22	PPIP5K2	0.11395318	0.00411184929	7	7	1	1
ENSG00000183023.20	SLC8A1	0.1345198	0.00411184929	7	7	1	1
ENSG00000135090.15	TAOK3	0.1627162	0.00411184929	8	8	1	1
ENSG00000102804.17	TSC22D1	-0.11756201	0.00411184929	8	8	1	1
ENSG00000131711.15	MAP1B	0.11617114	0.00414490491	8	8	1	1
ENSG00000255248.11	MIR100HG	0.13855545	0.00414490491	8	8	1	1
ENSG00000137285.11	TUBB2B	-0.30182934	0.00414490491	8	8	1	1
ENSG00000137871.22	ZNF280D	-0.13114373	0.00414490491	8	8	1	1
ENSG00000134884.16	ARGLU1	0.11368152	0.00466314301	8	8	1	1
ENSG00000107863.21	ARHGAP21	0.10038661	0.00466314301	8	8	1	1
ENSG00000047849.23	MAP4	-0.29075239	0.00503912904	8	8	1	1
ENSG00000164741.16	DLC1	-0.17963881	0.00557664017	7	7	1	1
ENSG00000180957.19	PITPNB	0.18037774	0.00557664017	7	7	1	1
ENSG00000134343.14	ANO3	-0.15195252	0.00602097409	8	8	1	1
ENSG00000148826.9	NKX6-2	0.40830015	0.00602097409	7	7	1	1
ENSG00000186298.12	PPP1CC	0.10201327	0.00602097409	6	6	1	1
ENSG00000164066.14	INTU	0.13861368	0.00704071202	8	8	1	1
ENSG00000181195.12	PENK	-0.13921547	0.00704071202	7	7	1	1
ENSG00000286288.3	ENSG00000286288	-0.16313729	0.0078333723	8	8	1	1
ENSG00000079215.16	SLC1A3	0.16235017	0.00802553238	8	8	1	1
ENSG00000102786.16	INTS6	0.10061845	0.00888795736	7	7	1	1
ENSG00000196792.13	STRN3	0.14536189	0.00888795736	6	6	1	0
ENSG00000162664.18	ZNF326	0.11842011	0.00901421072	7	7	1	1
ENSG00000086758.18	HUWE1	0.21877426	0.00926600593	7	7	1	1
ENSG00000151552.14	QDPR	0.10233618	0.011013161	8	8	1	1
ENSG00000135472.10	FAIM2	0.18027118	0.0120650042	8	8	1	1
ENSG00000103260.10	METRN	0.30448086	0.0120650042	8	8	1	1
ENSG00000127838.16	PNKD	0.27130216	0.012553276	8	8	1	1
ENSG00000112983.18	BRD8	0.23592569	0.0140775075	6	6	1	1
ENSG00000130558.21	OLFM1	-0.2009332	0.0140785186	7	7	1	1
ENSG00000141447.20	OSBPL1A	0.16074645	0.0147119314	7	7	1	1
ENSG00000167380.18	ZNF226	0.11627715	0.0147119314	7	7	1	1
ENSG00000109065.13	NAT9	0.20357998	0.0153062992	6	6	1	1
ENSG00000205726.16	ITSN1	0.13929437	0.0155574677	7	7	1	1
ENSG00000068745.16	IP6K2	0.23191444	0.0157614945	7	7	1	1
ENSG00000104613.13	INTS10	-0.12548053	0.0159307743	7	7	1	1
ENSG00000107758.17	PPP3CB	0.1084646	0.0164089731	7	7	1	1
ENSG00000115524.18	SF3B1	0.12050583	0.0169356884	8	8	1	1
ENSG00000118482.13	PHF3	0.10166778	0.0180164856	8	8	1	1
ENSG00000131095.15	GFAP	0.14910516	0.0184555564	7	7	1	1
ENSG00000141404.17	GNAL	-0.14127895	0.0184555564	7	7	1	1
ENSG00000125814.18	NAPB	0.14921426	0.019793432	7	7	1	1
ENSG00000105993.16	DNAJB6	0.10347295	0.020313349	7	7	1	1
ENSG00000105894.14	PTN	0.13455844	0.0204380854	8	8	1	1
ENSG00000102606.21	ARHGEF7	-0.14442097	0.0205568207	7	7	1	1
ENSG00000109685.20	NSD2	0.10551539	0.0222248916	6	6	1	1
ENSG00000133030.23	MPRIP	0.12608436	0.0230968263	8	8	1	1
ENSG00000185630.20	PBX1	0.13031829	0.0249258237	7	7	1	1
ENSG00000124181.16	PLCG1	-0.1737008	0.0249258237	6	6	1	1
ENSG00000162909.19	CAPN2	-0.1102556	0.0252942851	8	8	1	1
ENSG00000168264.13	IRF2BP2	0.14622104	0.0254697687	7	7	1	1
ENSG00000078142.15	PIK3C3	0.10887889	0.0259032653	6	6	1	1
ENSG00000066248.16	NGEF	-0.1207655	0.0263796499	6	6	1	1
ENSG00000187189.11	TSPYL4	0.17646782	0.0263796499	6	6	1	1
ENSG00000173992.10	CCS	0.11432313	0.026802807	6	6	1	1
ENSG00000227376.1	FTH1P16	0.12468304	0.026802807	8	8	1	1
ENSG00000230989.9	HSBP1	0.15063254	0.027208961	6	6	1	1
ENSG00000049759.21	NEDD4L	0.10545813	0.027208961	6	6	1	1
ENSG00000181449.4	SOX2	0.19897789	0.0274039657	8	8	1	1
ENSG00000126214.23	KLC1	-0.17876474	0.0284878128	7	7	1	1
ENSG00000153827.16	TRIP12	0.10495454	0.0284934541	7	7	1	1
ENSG00000187239.20	FNBP1	0.12203453	0.0285669	7	7	1	1
ENSG00000109689.20	STIM2	0.10456836	0.0285669	6	6	1	1
ENSG00000089486.18	CDIP1	-0.21082475	0.0305003237	6	6	1	1
