stratum	rank	selection_blake3	chrom	donor	acceptor	archives_present	archive_ids
one_archive	1	00000b4fa8a9aa5c751c5967e59620f4d91a04243e302d0de2cbc371044581d0	chr17	29417118	29515203	1	G
one_archive	2	0000177a6c8989feeab5514b85bfaeb4d0f7cdab61faaf289d13e5f60e706536	chr11	65225950	65499682	1	F
one_archive	3	000042fc7f98195acf1aa5430e84b778abfc5d42e6a3d45e313efffb65dc0f18	chr7	151576883	151585028	1	F
one_archive	4	0000543b732f2e1aaf5e8e5a8bdf6382b76ef7e242ca3b74c0a47ee5cb011e98	chr15	38311874	38312163	1	A
one_archive	5	00007159d8358c97e17093cae1689a8c95ebe44c428907e7e239e4293228f7de	chr1	32265118	32276988	1	D
one_archive	6	00008c8ef8a27ee145b5e03fa02b1b9671b9c932baf9b2143dea9aeec3c93bc1	chr7	36978916	37134525	1	G
one_archive	7	00009842caa92c9aa5129dd22e78fbf3a4177b40a7ee87f34ebe6341dc22a509	chr19	4130509	4227709	1	G
one_archive	8	0000abf1bbc4165094678713220e604ee776fec2a2ee178ce7c21810acabfa9e	chr7	44835658	44843276	1	G
one_archive	9	0000b1a383bfe95cfdc9f58f743009bb12c1663d3c742fae936c0d4d5e00c184	chr15	61013156	61015912	1	A
one_archive	10	0000bdf173ba5636a9fccee55f4c79bec5ac71e4a83b8aba46a641495f655793	chr14	38716997	38717344	1	D
one_archive	11	0000cbd6597cdbe5d84eea5047fd764b0c2b7c898ffcdf70acd658e29ba27a87	chr10	114474903	114486164	1	A
one_archive	12	0000d87f74e1ce6592fb7462cd5b3005726ba382cdac51d92183fd84ba30b5f4	chr12	8874527	8874970	1	B
one_archive	13	0000f75ee4e2213aed430b3add1d43c8a0f9501133b39b4424fabaf039d58c5b	chr19	32940872	33058044	1	D
one_archive	14	0000fc66902d84207f1f8b6321c4f7f560d8904d85151f1b0ea90aa8ad080e70	chr10	86273059	86279360	1	D
one_archive	15	0000ff09889080c4334b738dec918b42c8d4a624c75c3add02bc0e97c54b3427	chr18	12437031	12512261	1	G
one_archive	16	000100d7bdc8cb4c49e816bb312b59f4bded3ca8a9b676beec7a17fb6dda0802	chr10	109951743	109974334	1	G
one_archive	17	000113f9afa928bfb649afe41a24691a96c1a406f398159115bfc666979b923a	chr18	26458590	26458771	1	D
one_archive	18	0001284e510b0e5b6f6655447ed54e91c20c9b210b8a10d010abaaa5e17c4175	chr10	60468979	60469710	1	A
one_archive	19	00012a2448e917a0ec76c7cf5adf10616b9885001798f7c772652e3024a13285	chr5	132981825	133085597	1	B
one_archive	20	000140e37ee0cc10c8f9a5989d4dd4ea525faad2066fb04a94d6b3e4b432cafd	chr4	116355475	116363708	1	D
one_archive	21	000141a581ca5d8c8377f055231d8742260160d68cfe79a2909cd77e9cf7683f	chr15	52608318	52610128	1	G
one_archive	22	00014aa1b06d221e118db73cdfece145773a4826393c3fd69ecdc8aff2417266	chrX	20869793	21480847	1	G
one_archive	23	000152bc2726778093cce420047cbd399fc8f8e585d1743aa51ece12a2cc65db	chrX	21359424	21949111	1	D
one_archive	24	00015cc9859b2990522c78c9c61093f001cda2b38672983643f4919eafabdf9a	chr2	135624114	135624428	1	D
two_to_three_archives	1	000025d50fa2e62df31913d0a6a4d61178def90bbacc7f95374a586d9ac493a6	chr17	48933346	48936130	2	A,H
two_to_three_archives	2	0000b94401473c1981cb9d2ad1ef6ce5d9ea78d6e693ba2c955fdd4affddadb2	chr4	21650509	21654577	2	A,D
two_to_three_archives	3	0000c343dbfe57d14394a51461993d059d78f07a189f9ea3188ab5b16dcee3a6	chr18	45751063	45786466	2	D,G
two_to_three_archives	4	00022ed7d77e462090c8ace75152dbe491a3b18b0db3f1df40aaf3df0275ba8b	chr12	56782232	56784852	2	D,E
two_to_three_archives	5	0004658e0a7e70eb0fca630f5d24bb8ca782e5c0df1072c1f16c21bd793ee7d5	chr9	32645434	32870935	3	B,C,G
two_to_three_archives	6	0004d9fefb58293f672d7b4aa3f7ba29859691c4cce3e159cacfef8da91f64b2	chr7	52702263	52745682	2	D,G
two_to_three_archives	7	00067649e342afd3b802fecf02da0982b6c94d0e90a41d1879d4ad04a87574e5	chr1	17491855	17591642	3	C,D,G
two_to_three_archives	8	0006a54ebbd2bdc6065a01c5b6ccd8cedee51a19b2fdd71e95731951985dff67	chr17	29457590	29515203	2	F,G
two_to_three_archives	9	0007a9006ddf58258d4b34210332afc52247a10ac1d2fbd4e69258d81208ac5a	chr14	29412320	29509186	2	D,G
two_to_three_archives	10	0008cf958464729ec9b0ae2080cac1cc59d6f9faa37676ac0960b76056e3ddba	chr11	65499600	65499670	2	D,G
two_to_three_archives	11	0008ee1fe7ce3849ea5ec625561293b8fcd9609a1141d8c09833ff41e4247cfd	chr19	58344927	58528546	3	D,E,G
two_to_three_archives	12	000d171cc0729ddea2d0907c047326bccf9bd7a46d2c4b83aeea80533067d1ed	chr2	18890238	18919212	3	A,D,G
