candidate_id	chrom	start	end	strand	d0_umis	d0_cells	annotation_history_class	matched_primary_gene	overlapping_v49_added_genes	d1_discovery	polyasite	star_splice	support_count
D0_000001	chr5	14646963	14651940	-	84750	6353	preexisting_v49_gene_span			1	1	0	2
D0_000002	chr12	66049794	66065060	-	46927	16990	unresolved			1	0	0	1
D0_000003	chr20	21755361	21915687	+	33121	2685	other_v49_added_gene		ENSG00000303376,ENSG00000300060,ENSG00000305897	1	1	0	2
D0_000004	GL000220.1	97146	161259	+	13319	2287	unresolved			1	0	0	1
D0_000005	chrX	79178008	79306121	+	11982	4298	unresolved			1	1	1	3
D0_000006	chr9	133020877	133021852	+	11977	1986	unresolved			1	0	0	1
D0_000007	chrM	0	417	-	9715	1801	unresolved			1	0	0	1
D0_000008	chr13	109422875	109424377	-	8164	1900	other_v49_added_gene		ENSG00000289901	1	1	0	2
D0_000009	chr11	10509192	10511360	-	7400	1652	unresolved			1	1	0	2
D0_000010	chr13	22605493	22696016	-	6676	1308	other_v49_added_gene		ENSG00000306102	1	1	0	2
D0_000011	KI270733.1	120222	179453	+	5836	1832	unresolved			1	1	0	2
D0_000012	chr20	60851633	61067509	-	5676	2443	unresolved			1	1	0	2
D0_000013	chr21	8251169	8258559	+	4901	1618	preexisting_v49_gene_span			1	1	0	2
D0_000014	chr14	75282241	75293918	+	3752	1034	preexisting_v49_gene_span			1	1	1	3
D0_000015	chr19	18274580	18279686	+	2926	998	unresolved			1	1	1	3
D0_000016	chr16	55719785	55720439	-	2759	1083	unresolved			1	0	0	1
D0_000017	chr19	16327878	16351270	+	2721	851	preexisting_v49_gene_span			1	1	1	3
D0_000018	chr5	160942085	161281802	-	2672	1495	unresolved			1	1	0	2
D0_000019	chr16	29507114	29527564	-	2531	1066	preexisting_v49_gene_span			1	0	0	1
D0_000020	chrX	123514370	123515248	+	2467	976	preexisting_v49_gene_span			1	0	0	1
D0_000021	chrX	44794615	44838339	+	2450	941	unresolved			1	1	0	2
D0_000022	chr1	110899928	110929977	+	2417	932	preexisting_v49_gene_span			1	1	1	3
D0_000023	chr4	83086234	83090032	+	2254	849	unresolved			1	1	0	2
D0_000024	chrM	0	576	+	2242	936	unresolved			1	0	0	1
D0_000025	chr2	157386008	157414611	-	2207	927	preexisting_v49_gene_span			1	1	0	2
D0_000026	chr14	34546877	34555303	+	2115	783	preexisting_v49_gene_span			1	1	0	2
D0_000027	chr12	95466398	95467381	-	2024	1037	unresolved			1	1	0	2
D0_000028	chr9	79391769	79391917	+	1954	898	unresolved			1	1	0	2
D0_000029	chrX	39786905	39787130	-	1935	777	preexisting_v49_gene_span			1	1	0	2
D0_000030	chr12	93639885	93640795	-	1931	839	unresolved			1	1	0	2
D0_000031	chr1	225999615	226003304	+	1894	793	primary_match	ENSG00000289341	ENSG00000289341	1	1	0	2
D0_000032	chr13	74051700	74136378	-	1859	697	preexisting_v49_gene_span			1	1	0	2
D0_000033	chrM	16025	16569	+	1731	896	unresolved			1	0	0	1
D0_000034	chr2	160879249	160960203	+	1677	1170	other_v49_added_gene		ENSG00000307318	1	1	0	2
D0_000035	chr1	242975148	242988961	+	1502	869	unresolved			1	0	0	1
D0_000036	chr21	18858305	18858496	+	1492	777	unresolved			1	1	0	2
D0_000037	chr9	30998985	31114184	+	1456	911	unresolved			1	1	0	2
D0_000038	chr10	3785550	3789421	+	1361	685	other_v49_added_gene		ENSG00000288755	1	1	0	2
D0_000039	chr2	83009060	83180511	-	1295	946	other_v49_added_gene		ENSG00000302192,ENSG00000300188	0	1	0	1
D0_000040	chr12	55409888	55411064	+	1235	722	unresolved			1	1	0	2
D0_000041	chr17	32382020	32411193	+	1161	612	preexisting_v49_gene_span			1	1	0	2
D0_000042	chr9	6037846	6038106	-	1123	757	unresolved			1	0	0	1
