id	kind	locus
r01	region	chr11:34050000-34075000
r02	region	chr11:34060000-34080000
r03	region	chr11:34070000-34090000
r04	region	chr11:34080000-34100000
r05	region	chr11:34090000-34110000
r06	region	chr11:34100000-34120000
r07	region	chr11:34130000-34150000
r08	region	chr11:34440000-34460000
r09	region	chr11:34450000-34470000
r10	region	chr11:34460000-34480000
r11	region	chr11:34880000-34900000
r12	region	chr11:35170000-35190000
r13	region	chr11:35180000-35200000
r14	region	chr11:35190000-35220000
r15	region	chr11:35210000-35235000
r16	region	chr11:35220000-35245000
j01	junction	chr11:34052636-34071725
j02	junction	chr11:34061757-34071350
j03	junction	chr11:34071987-34076235
j04	junction	chr11:34076474-34076559
j05	junction	chr11:34088423-34089031
j06	junction	chr11:34090289-34090528
j07	junction	chr11:34097296-34097697
j08	junction	chr11:34097761-34099302
j09	junction	chr11:34108333-34108741
j10	junction	chr11:34141817-34142274
j11	junction	chr11:34142348-34143444
j12	junction	chr11:34143528-34146083
j13	junction	chr11:34449363-34450987
j14	junction	chr11:34451098-34452076
j15	junction	chr11:34464235-34468287
j16	junction	chr11:34468395-34470957
