GL000220.1	84717	161706	+	162792	39598
KI270733.1	119976	179456	+	68701	14876
chr21	8251159	8260587	+	49606	16874
chrM	0	574	-	46868	10093
chr11	10507885	10511526	-	46685	7361
chrX	79175321	79323141	+	28605	10092
chr13	22695837	22696786	-	28515	5692
chrY	14952590	15312517	+	17470	9190
chr19	18274532	18279619	+	17201	4655
chr16	55719784	55720452	-	15594	5359
chrX	66721349	67320483	+	14426	7760
chr20	60816786	61057961	-	13070	5843
chr12	95466431	95468549	-	12928	5229
chr2	157373628	157409352	-	12270	4233
chr11	123021850	123057479	-	12270	3155
chr19	16328689	16355166	+	12144	3427
chrX	44794071	44841880	+	11322	4336
chr16	61250554	61518406	+	9826	6060
chr5	138469312	138490427	+	9670	2076
chr21	8986604	8989398	+	9563	6445
chr9	79391778	79391917	+	9334	4195
chr21	18858276	18858500	+	8920	4153
chrX	123514927	123515248	+	8899	3875
chrM	0	576	+	8311	3792
chr14	75283198	75293931	+	7370	2876
chrX	30630882	30653274	+	6907	2942
chr14	22484479	22547445	+	6880	2502
chr11	123034941	123056915	+	6807	2341
GL000219.1	40273	99671	-	6726	3454
chr9	6037842	6038097	-	6698	3995
chr19	14497666	14513784	+	5998	1786
chr1	171467141	171485529	-	5936	2351
chr6	36605934	36618376	+	5813	2659
GL000220.1	80993	160916	-	5790	3672
chrY	16405549	16592406	-	5630	3876
chr6	42746263	42781924	-	5601	2598
chr7	100439881	100456610	+	5574	1467
chr2	30160538	30164682	+	5318	2488
chr17	32381890	32411214	+	5306	2690
chr15	44718851	44728954	+	5219	2575
chr9	33039916	33041764	+	5215	2579
chr14	102066364	102080736	-	5137	1787
KI270733.1	21431	179442	-	5052	3352
chr6	31839775	31857062	-	4871	1679
chr19	18178128	18193010	+	4842	1289
chr1	242975132	242988971	+	4801	3143
chrM	16024	16569	+	4785	2861
chrX	140033481	140033891	+	4710	2997
chr19	14496307	14513778	-	4677	1298
chr3	155974424	155989779	+	4534	2905
chr14	103345039	103356693	+	4404	2171
chr6	89085161	89093853	+	4377	2327
chr5	138469475	138490582	-	4302	1141
chr1	28648829	28655659	+	4157	1911
chr6	30597187	30600398	-	4156	1731
KI270721.1	2637	43286	+	4105	2710
chrM	16023	16569	-	4085	2612
chr12	55409783	55411113	+	4065	2603
chr7	27455847	27458160	-	4052	2718
chr19	12640760	12643274	-	4044	2928
chr12	9010855	9027442	+	3835	1509
chrX	24354825	24354965	+	3781	2509
chr17	7514620	7535504	+	3743	1298
chr14	102066432	102080731	+	3665	1378
chr4	132508201	132528217	+	3581	2546
chr12	7906129	7919217	-	3549	1259
chr19	48876292	48880963	-	3536	2008
chr15	44718854	44728869	-	3485	1852
chrX	150230806	150231041	-	3456	2471
chr9	131560645	131576221	-	3380	1777
chr14	20477113	20489997	+	3355	1600
chr22	50539670	50541105	+	3313	1599
chr17	7514867	7537028	-	3264	1360
chr17	41692668	41705334	+	3258	1941
chr3	185848887	185914518	-	3204	1639
chr20	5291089	5292940	-	3181	2262
chr12	66039617	66058608	-	3177	2474
chr17	78841447	78845256	+	3177	1834
chr2	58252525	58252692	+	3174	2292
chr22	39973914	39994253	+	3114	1700
chr5	18162985	18175804	+	3106	2306
chr6	42746136	42781924	+	3086	1833
chr16	9121661	9152562	+	3047	1691
GL000218.1	9685	98084	-	3013	2085
chr19	18274519	18279693	-	2964	2071
chr16	11235251	11249087	-	2959	1125
GL000194.1	12029	151862	-	2924	2007
chr3	31638548	31657875	+	2874	1481
chr1	42703819	42732259	+	2862	1149
chr14	35398039	35401065	+	2851	1515
chr7	73236011	73242734	+	2830	1126
chr5	160948272	161103422	-	2827	2143
chr12	9029378	9050289	+	2812	1184
chr9	93036369	93058459	+	2796	1513
chr17	46487642	46499764	+	2769	1958
chr3	56694423	56727301	-	2729	1442
chr7	39798350	39812576	+	2726	2245
chrX	52832084	52832395	-	2724	2078
chr2	85104939	85124916	+	2713	1750
chr8	30083467	30094312	+	2708	1558
chr5	131398452	131417064	+	2678	1534
chr1	44817381	44819150	+	2672	1356
chr17	32382422	32403223	-	2646	1726
KI270713.1	14513	22282	-	2630	1735
chr2	171750643	171781293	+	2554	1462
chr19	16328692	16355206	-	2548	1284
chr1	42704347	42732883	-	2507	1203
chr19	14370200	14374931	-	2487	1334
chr14	99140698	99158399	-	2478	1161
chr6	36605924	36618381	-	2473	1410
chr19	13848036	13861951	+	2457	1449
chr19	18255546	18257088	-	2415	941
chr17	75765404	75776429	-	2404	1174
KI270752.1	108	25224	-	2392	2322
chr5	70081998	70094105	-	2387	1726
chr19	35879847	35887520	-	2376	1129
chr5	107194849	107195155	-	2370	1854
chr19	18178132	18192761	-	2365	986
chr5	66094116	66133766	+	2358	1248
chr12	9116243	9124024	+	2350	1271
chr1	46322461	46340715	-	2301	1416
chr1	26478343	26497842	-	2230	997
chr16	29406712	29425799	-	2198	1689
chr7	142793377	142801001	+	2182	1291
chr2	32323022	32356321	+	2173	1299
chr19	48876294	48880957	+	2120	1349
chr19	4867749	4890436	-	2100	1364
chr15	65304796	65318070	+	2074	1365
chr6	132817589	132835354	+	2068	1214
chr22	30436245	30445221	+	2068	984
chr2	200845580	200852940	-	2050	1347
chr9	80307359	80356355	+	2050	470
chrY	1900639	2218909	-	2048	1043
chr9	92686374	92710615	-	2034	1032
chr22	47177550	47195695	+	1984	1125
chr6	35322025	35342511	+	1940	1178
chr12	111902265	111926985	+	1926	1131
chr19	39404544	39406842	-	1916	1227
chr17	37962626	37965390	-	1915	835
chr3	108855095	108887332	+	1907	1068
chr15	59689418	59754386	+	1887	1145
KI270719.1	14426	124938	-	1887	1372
chr1	39034640	39076228	+	1864	1032
chr1	156713244	156720791	-	1858	1222
chr8	38383461	38385910	+	1856	1200
chr3	96617243	96618499	-	1837	1478
chr14	75283199	75294109	-	1833	1263
chr22	40935119	40951258	-	1815	1193
chr22	41423368	41433479	-	1812	1164
chr20	5611045	5630212	+	1803	1117
chr12	31993114	32043252	+	1792	1178
chr17	59842401	59845874	-	1786	1201
chr14	69773905	69775307	-	1784	1282
chr11	107316282	107320914	-	1783	1270
chrX	118687055	118715232	+	1778	1251
chr14	92689092	92703770	+	1777	1171
chr11	107269937	107312064	-	1750	1125
chr9	75168357	75195767	+	1743	1134
chr21	33359966	33364385	-	1741	1183
chr7	23491539	23504776	-	1725	1119
chr14	20477222	20485153	-	1714	986
chr16	9126145	9152660	-	1713	1060
chr7	102518279	102537896	-	1700	1321
chr4	164943951	164944050	+	1697	1429
chr1	185291989	185292930	-	1691	1157
chr17	45588696	45600867	-	1685	1341
chr1	145980515	145992433	-	1652	945
chr2	31830008	31864903	-	1649	1111
chr2	44065148	44066696	-	1641	1301
chr16	29406721	29425716	+	1620	1250
chr3	196437373	196468769	-	1610	954
chr6	32566560	32577864	-	1606	765
chr17	59847007	59859416	+	1579	966
chr16	11527597	11546806	-	1571	981
chr1	171468682	171485495	+	1568	1010
chr4	105486080	105486636	+	1565	1311
chr17	8127877	8140325	-	1537	814
chr6	28893936	28902437	-	1534	767
chr1	52669690	52684234	+	1528	1067
chr6	118436424	118452455	-	1523	823
chr10	68952221	68956133	-	1521	908
chr3	50653989	50669950	+	1507	1003
chr14	24168043	24171650	+	1502	1061
chr1	204505195	204516346	-	1493	990
chr6	32860742	32878707	+	1493	991
chr7	5514203	5526385	-	1491	913
chr19	19683648	19708612	-	1487	995
chr4	40247197	40264994	+	1474	865
chr5	50248263	50365571	-	1461	703
