candidate_id	chrom	start	end	strand	d0_umis	d0_cells	annotation_history_class	matched_primary_gene	overlapping_v49_added_genes	d1_discovery	polyasite	star_splice	support_count
D0_000001	chr5	14646963	14651940	-	84750	6353	preexisting_v49_gene_span			1	1	0	2
D0_000002	chr12	66049794	66065060	-	46927	16990	unresolved			1	0	0	1
D0_000003	chr2	32916278	32916625	+	43166	3312	other_v49_added_gene		ENSG00000293668	1	1	0	2
D0_000004	chr20	21755361	21915687	+	33121	2685	other_v49_added_gene		ENSG00000303376,ENSG00000300060,ENSG00000305897	1	1	0	2
D0_000005	chr8	36183677	36183727	-	27624	9372	unresolved			1	1	0	2
D0_000006	chr1	632057	632708	+	25123	3313	preexisting_v49_gene_span			1	1	0	2
D0_000007	chr20	34227760	34228172	-	23105	13181	unresolved			1	1	0	2
D0_000008	chr1	119838086	119838161	+	15621	5799	other_v49_added_gene		ENSG00000307777	1	0	0	1
D0_000009	chr20	4482120	4482190	-	13983	4824	unresolved			1	1	0	2
D0_000010	chr15	32475406	32475468	+	13561	5945	other_v49_added_gene		ENSG00000307111	1	0	0	1
D0_000011	GL000220.1	97146	161259	+	13319	2287	unresolved			1	0	0	1
D0_000012	chr1	14418016	14418059	+	12031	5575	preexisting_v49_gene_span			0	0	0	0
D0_000013	chrX	79178008	79306121	+	11982	4298	unresolved			1	1	1	3
D0_000014	chr9	133020877	133021852	+	11977	1986	unresolved			1	0	0	1
D0_000015	chr3	96000341	96000393	+	11539	4665	unresolved			1	0	0	1
D0_000016	chrM	13759	14750	+	10662	2072	preexisting_v49_gene_span			1	0	1	2
D0_000017	chrM	0	417	-	9715	1801	unresolved			1	0	0	1
D0_000018	chr6	160100707	160101177	-	9139	3919	unresolved			1	0	0	1
D0_000019	chrM	8269	9269	+	8271	2241	preexisting_v49_gene_span			1	0	0	1
D0_000020	chr13	109422875	109424377	-	8164	1900	other_v49_added_gene		ENSG00000289901	1	1	0	2
D0_000021	chr7	5418939	5419752	-	8095	1380	preexisting_v49_gene_span			1	0	0	1
D0_000022	chr12	116287345	116287377	+	7913	4894	unresolved			1	0	0	1
D0_000023	chr16	6370364	6370401	+	7770	3179	preexisting_v49_gene_span			1	0	0	1
D0_000024	chr9	6746829	6747386	+	7596	3254	preexisting_v49_gene_span			0	0	0	0
D0_000025	chr11	10509192	10511360	-	7400	1652	unresolved			1	1	0	2
D0_000026	chr11	114402378	114402719	-	7152	3261	unresolved			1	0	0	1
D0_000027	chr2	181508523	181509232	+	7140	3613	preexisting_v49_gene_span			1	0	0	1
D0_000028	chr2	230460073	230460924	-	7032	3379	other_v49_added_gene		ENSG00000308860	1	1	0	2
D0_000029	chr13	22605493	22696016	-	6676	1308	other_v49_added_gene		ENSG00000306102	1	1	0	2
D0_000030	chr5	143974209	143974252	+	6010	3106	unresolved			0	0	0	0
D0_000031	KI270733.1	120222	179453	+	5836	1832	unresolved			1	1	0	2
D0_000032	chrM	5266	5972	+	5819	1490	preexisting_v49_gene_span			1	0	0	1
D0_000033	chr2	42805857	42805888	-	5780	2749	other_v49_added_gene		ENSG00000307343	1	0	0	1
D0_000034	chr20	60851633	61067509	-	5676	2443	unresolved			1	1	0	2
D0_000035	chr9	133020852	133021175	+	5661	1346	preexisting_v49_gene_span			1	0	0	1
D0_000036	chr4	90838468	90838861	-	5565	1537	unresolved			1	1	0	2
D0_000037	chr1	630351	631310	+	5499	1472	preexisting_v49_gene_span			1	1	0	2
D0_000038	chr2	237343542	237343598	+	5227	2306	unresolved			1	0	0	1
D0_000039	chr12	3211583	3211892	-	4950	1601	preexisting_v49_gene_span			1	1	0	2
D0_000040	chr21	8251169	8258559	+	4901	1618	preexisting_v49_gene_span			1	1	0	2
D0_000041	chr14	105668109	105668347	-	4847	666	preexisting_v49_gene_span			1	1	0	2
