chr5	14646963	14651940	-	84750	6353
chr12	66049794	66065060	-	46927	16990
chr20	21755361	21915687	+	33121	2685
GL000220.1	97146	161259	+	13319	2287
chrX	79178008	79306121	+	11982	4298
chr9	133020877	133021852	+	11977	1986
chrM	0	417	-	9715	1801
chr13	109422875	109424377	-	8164	1900
chr11	10509192	10511360	-	7400	1652
chr13	22605493	22696016	-	6676	1308
KI270733.1	120222	179453	+	5836	1832
chr20	60851633	61067509	-	5676	2443
chr21	8251169	8258559	+	4901	1618
chr14	75282241	75293918	+	3752	1034
chr19	18274580	18279686	+	2926	998
chr16	55719785	55720439	-	2759	1083
chr19	16327878	16351270	+	2721	851
chr5	160942085	161281802	-	2672	1495
chr16	29507114	29527564	-	2531	1066
chrX	123514370	123515248	+	2467	976
chrX	44794615	44838339	+	2450	941
chr1	110899928	110929977	+	2417	932
chr4	83086234	83090032	+	2254	849
chrM	0	576	+	2242	936
chr2	157386008	157414611	-	2207	927
chr14	34546877	34555303	+	2115	783
chr12	95466398	95467381	-	2024	1037
chr9	79391769	79391917	+	1954	898
chrX	39786905	39787130	-	1935	777
chr12	93639885	93640795	-	1931	839
chr1	225999615	226003304	+	1894	793
chr13	74051700	74136378	-	1859	697
chrM	16025	16569	+	1731	896
chr2	160879249	160960203	+	1677	1170
chr1	242975148	242988961	+	1502	869
chr21	18858305	18858496	+	1492	777
chr9	30998985	31114184	+	1456	911
chr10	3785550	3789421	+	1361	685
chr2	83009060	83180511	-	1295	946
chr12	55409888	55411064	+	1235	722
chr17	32382020	32411193	+	1161	612
chr9	6037846	6038106	-	1123	757
chr12	9011065	9027314	+	1120	343
chr10	80246595	80247125	-	1114	665
chr4	83085686	83090038	-	1063	588
chr5	138469320	138488766	+	935	291
chr2	30160534	30174592	+	916	430
chr12	9029434	9049914	+	900	310
chr8	114029499	114030142	-	898	575
chrX	140033519	140033891	+	882	561
chr3	155988200	155989066	+	879	602
chr7	27456336	27458077	-	861	563
chr19	18281641	18289036	+	850	403
chr21	8986604	8988749	+	844	570
chr5	70479306	70483433	-	841	466
chr15	44718878	44728894	+	836	487
chrM	16024	16569	-	833	510
KI270721.1	2605	16085	+	830	533
chr22	50532586	50541082	+	804	428
chr19	45478918	45485056	+	802	286
chr4	132528094	132528217	+	796	576
chr1	203309610	203319643	+	787	361
chr19	12642385	12643274	-	785	583
chr14	25266315	25266593	-	779	501
chrX	30630826	30649501	+	777	470
chr19	39942632	39943749	-	763	538
chrX	150230806	150231035	-	762	537
chr6	73509322	73515673	-	759	465
chr1	58775489	58780789	-	734	445
chr7	36504602	36512921	-	732	372
chr17	75765673	75776427	-	732	322
chr5	18111418	18185444	+	714	539
chr2	58252525	58252692	+	701	513
chr16	29404418	29425781	-	687	479
chr11	123042217	123057379	-	677	284
chr17	43314053	43322863	-	677	424
chr19	39409430	39412648	+	674	369
chr6	36605679	36621994	+	670	354
chr1	171470015	171485442	-	651	333
chr20	35742371	35744750	+	637	416
chr12	9116408	9123894	+	636	282
chr19	18178118	18192984	+	621	263
chr1	44726933	44731313	-	620	319
chrX	24354818	24354962	+	620	441
chr12	7900432	7918927	-	616	202
chr9	33039918	33041708	+	615	354
chr13	74010012	74048987	-	614	346
chr1	28095038	28095707	-	611	445
chr16	29609151	29613082	-	605	382
chr12	120288121	120295710	-	604	370
chr17	59842266	59859473	+	602	330
chr9	80232098	80299264	+	601	142
chr19	13842937	13853835	+	596	366
chr5	107194860	107195155	-	587	439
chr5	70208005	70209283	-	578	418
GL000218.1	46904	97454	-	575	383
chr1	148522765	148529813	+	571	354
chr2	138574467	138587149	+	571	333
chr2	75268031	75416944	-	569	174
chr5	70137007	70193556	-	567	407
chr17	46487594	46503850	+	567	387
chr6	89085320	89095204	+	566	364
chr9	134895407	134903213	-	559	296
chr20	5291342	5291879	-	558	426
chr19	16327889	16337763	-	548	324
chr9	131561664	131576363	-	542	307
chr2	136198699	136198828	-	540	425
chr6	131305581	131443484	-	540	230
