chr12	66049794	66065060	-	46927	16990
chr20	62387054	62388577	+	29858	2953
GL000220.1	97146	161259	+	13319	2287
chrX	79178008	79306121	+	11982	4298
chr10	3769812	3785237	-	10481	1874
chrM	0	417	-	9715	1801
chr11	10507885	10511360	-	7831	1714
chr13	22695849	22696016	-	6650	1304
KI270733.1	120222	179453	+	5836	1832
chr20	60851633	61067509	-	5676	2443
chr21	8251169	8258559	+	4901	1618
chr6	89078823	89093765	+	4337	1437
chr20	36894252	36993821	-	3496	1013
chr5	88779137	88883251	-	3477	715
chr19	18274580	18279686	+	2926	998
chr16	88809465	88813244	-	2874	1186
chr14	94378348	94388642	-	2864	574
chr2	8682055	8684783	+	2861	877
chr9	37204898	37334672	+	2839	806
chr16	55719785	55720439	-	2759	1083
chr5	160942085	161100310	-	2652	1491
chr19	41877255	41883067	+	2609	382
chr19	16328744	16351270	+	2572	797
chrX	123514909	123515248	+	2466	976
chr11	128456082	128522386	-	2455	882
chrX	44794615	44838339	+	2450	941
chr9	37121219	37203765	+	2370	922
chrX	20149910	20204579	-	2339	969
chrM	0	576	+	2242	936
chr3	196785523	196834187	+	2218	934
chr14	75283192	75293918	+	2213	717
chr17	77481164	77501537	+	2195	1019
chr3	30640396	30694233	+	2115	938
chr12	95466398	95467381	-	2024	1037
chr11	492061	507199	-	1970	903
chr9	79391769	79391917	+	1954	898
chr7	105347025	105438226	-	1854	813
chr11	3826454	3827469	-	1854	815
chr7	140697118	140706647	+	1776	872
chr14	22773218	22815472	-	1744	498
chrM	16025	16569	+	1731	896
chr15	63142184	63157572	-	1566	832
chr2	157386008	157409353	-	1517	719
chr1	242975148	242988961	+	1502	869
chr16	21953312	21983812	+	1500	835
chr21	18858305	18858496	+	1492	777
chr1	112671116	112672737	+	1485	756
chr5	76850042	76927469	+	1414	385
chrX	20208536	20267654	-	1337	656
chr12	110719132	110742889	-	1333	768
chr16	51646667	51647130	+	1324	741
chr3	30606687	30638959	+	1268	642
chr19	14408785	14419380	-	1268	733
chr1	86704603	86748184	+	1252	695
chr12	55409888	55411064	+	1235	722
chr14	50189954	50232121	-	1161	605
chr17	32382020	32411193	+	1161	612
chr15	31371616	31378785	+	1143	686
chr9	6037846	6038106	-	1123	757
chr12	9011065	9027314	+	1120	343
chr3	101574196	101594474	+	1092	664
chr5	83050987	83077402	-	1089	586
chr20	32101357	32102112	+	1082	428
chr7	105246752	105300611	-	1059	555
chr17	3922367	3948927	-	994	590
chr16	69372597	69386338	+	977	772
chr7	69899376	70339109	+	965	269
chr1	27351435	27355000	+	959	627
chr7	105124776	105174400	-	954	568
chr5	138469320	138488766	+	935	291
chr12	9029434	9049914	+	900	310
chrX	140033519	140033891	+	882	561
chr3	155988200	155989066	+	879	602
chr7	27456336	27458077	-	861	563
chr9	34613545	34617915	-	850	543
chr15	44718852	44728894	+	849	492
chr21	8986604	8988749	+	844	570
chrM	16024	16569	-	833	510
KI270721.1	2605	16085	+	830	533
chr15	101268870	101280965	-	808	480
chr19	45478918	45485056	+	802	286
chr4	132528094	132528217	+	796	576
chr10	6580880	6591135	+	795	416
chr15	74843653	74848703	-	794	535
chr5	149504920	149528916	-	786	473
chr19	12642385	12643274	-	785	583
chr12	111418771	111436858	+	781	401
chrX	30630826	30649501	+	777	470
chrX	150230806	150231035	-	762	537
