gene_id	gene_name	gene_type	chrom	start	end	strand	d0_gene_umis	d1_gene_umis	stratum	matched	matched_candidate	candidate_umis	permissive_any_overlap	d1_expression	d1_discovery	polyasite	star_splice
ENSG00000308579	ENSG00000308579	lncRNA	chr1	134913	136246	-	92	313	same_strand	1	D0_003359	174	1	1	1	0	0
ENSG00000310527	WASH9P	lncRNA	chr1	182145	201244	-	358	1929	same_strand	1	D0_016193	57	1	1	1	1	1
ENSG00000293188	ENSG00000293188	lncRNA	chr1	1724193	1736519	+	57	288	same_strand	0		0	0	1	1	1	1
ENSG00000293478	GFOD3P	lncRNA	chr1	3735510	3747373	-	57	274	same_strand	0		0	0	1	0	1	0
ENSG00000310107	ENSG00000310107	lncRNA	chr1	8893870	8926885	-	52	265	same_strand	1	D0_017968	31	1	1	1	1	1
ENSG00000290109	ENSG00000290109	lncRNA	chr1	8970489	8971246	-	65	799	antisense_only	1	D0_013826	80	1	1	1	0	0
ENSG00000289380	ENSG00000289380	lncRNA	chr1	13757777	13758465	+	220	1298	same_strand	1	D0_001694	252	1	1	1	0	0
ENSG00000291072	ENSG00000291072	lncRNA	chr1	16618252	16680618	-	215	910	same_strand	1	D0_006891	119	1	1	1	1	1
ENSG00000290122	ENSG00000290122	lncRNA	chr1	16904952	16905828	+	222	943	same_strand	1	D0_001624	258	1	1	1	1	0
ENSG00000294734	ENSG00000294734	lncRNA	chr1	27666072	27666312	+	52	228	antisense_only	1	D0_015383	75	1	1	1	1	0
ENSG00000291129	PPIEL	lncRNA	chr1	39522279	39559698	-	57	290	same_strand	0		0	0	1	1	1	1
ENSG00000296912	ENSG00000296912	lncRNA	chr1	40388737	40390662	+	135	435	same_strand	1	D0_004531	150	1	1	1	1	0
ENSG00000288826	ENSG00000288826	lncRNA	chr1	99912909	100038042	-	102	538	same_strand	1	D0_021168	17	1	1	1	1	0
ENSG00000290569	ENSG00000290569	lncRNA	chr1	120230345	120354593	-	62	347	same_strand	1	D0_005293	138	1	1	1	1	0
ENSG00000291135	FCGR1BP	lncRNA	chr1	121042601	121103109	+	62	283	same_strand	0		0	0	1	0	1	1
ENSG00000294260	ENSG00000294260	lncRNA	chr1	143975122	144047409	+	103	297	same_strand	1	D0_007940	110	1	1	1	0	0
ENSG00000290867	LINC01145	lncRNA	chr1	145116452	145217352	-	148	763	same_strand	1	D0_010505	94	1	1	1	1	1
ENSG00000291233	ENSG00000291233	lncRNA	chr1	149168219	149322183	-	74	361	same_strand	1	D0_022584	14	1	1	1	1	1
ENSG00000291158	LINC00869	lncRNA	chr1	149558214	149705722	+	394	1434	same_strand	1	D0_018584	27	1	1	1	1	1
ENSG00000301565	ENSG00000301565	lncRNA	chr1	149607347	149608640	-	239	1116	antisense_only	1	D0_001495	270	1	1	1	0	1
ENSG00000290791	ENSG00000290791	lncRNA	chr1	149842157	149846719	+	206	958	same_strand	0		0	0	1	1	1	1
ENSG00000290792	ENSG00000290792	lncRNA	chr1	149844497	149850937	-	84	378	same_strand	0		0	0	1	0	1	0
ENSG00000288859	H2AC19	protein_coding	chr1	149851060	149851652	+	326	1485	same_strand	1	D0_006722	121	1	1	1	1	0
ENSG00000294841	ENSG00000294841	lncRNA	chr1	151946019	151946965	+	233	1401	same_strand	1	D0_001335	288	1	1	1	0	0
ENSG00000298630	ENSG00000298630	lncRNA	chr1	160317287	160318508	+	73	229	same_strand	0		0	0	1	1	1	0
ENSG00000310471	ENSG00000310471	lncRNA	chr1	161606167	161609140	+	98	183	same_strand	1	D0_004838	145	1	1	1	1	0
ENSG00000293109	ANKRD36BP1	lncRNA	chr1	168245564	168247343	-	147	821	same_strand	0		0	0	1	0	0	0
ENSG00000303114	ENSG00000303114	lncRNA	chr1	194157781	194289708	-	57	261	antisense_only	1	D0_017542	35	1	1	1	1	1
ENSG00000288925	ENSG00000288925	lncRNA	chr1	203288316	203290686	-	149	984	antisense_only	1	D0_003063	183	1	1	1	1	0
ENSG00000293455	ENSG00000293455	lncRNA	chr1	206035246	206062257	+	55	151	same_strand	1	D0_002878	189	1	1	1	1	1
ENSG00000296425	ENSG00000296425	lncRNA	chr1	206207735	206214435	-	94	417	antisense_only	0		0	0	1	1	0	0
ENSG00000288999	ENSG00000288999	lncRNA	chr1	223846048	223849257	+	51	182	clean	1	D0_013851	80	1	1	1	1	0
ENSG00000290989	SEPTIN7P13	lncRNA	chr1	223992688	224034952	+	71	403	same_strand	1	D0_003123	181	1	1	1	1	0
ENSG00000289341	ENSG00000289341	lncRNA	chr1	225999460	226001134	+	1571	11106	clean	1	D0_000098	1894	1	1	1	0	0
ENSG00000303740	ENSG00000303740	lncRNA	chr1	234610482	234610878	-	313	2132	clean	1	D0_000650	428	1	1	1	1	0
ENSG00000289055	ENSG00000289055	lncRNA	chr1	244026466	244048286	-	165	691	antisense_only	1	D0_003789	164	1	1	1	1	0
ENSG00000305299	ENSG00000305299	lncRNA	chr1	244970846	244971596	+	63	414	same_strand	1	D0_007444	114	1	1	1	1	0
ENSG00000290683	ENSG00000290683	lncRNA	chr1	247189320	247210904	-	108	462	same_strand	1	D0_015102	76	1	1	1	1	1
ENSG00000298309	ENSG00000298309	lncRNA	chr10	3783643	3784023	-	159	382	same_strand	1	D0_001577	264	1	1	1	1	0
ENSG00000298322	ENSG00000298322	lncRNA	chr10	3784150	3784494	+	182	769	antisense_only	1	D0_001590	262	1	1	1	0	0
ENSG00000288915	ENSG00000288915	lncRNA	chr10	6492438	6493380	+	59	309	antisense_only	0		0	0	1	1	1	1
ENSG00000310009	ENSG00000310009	lncRNA	chr10	11208549	11210948	+	84	286	same_strand	1	D0_002010	231	1	1	1	1	0
ENSG00000306852	ENSG00000306852	lncRNA	chr10	13302179	13302968	+	110	1252	antisense_only	1	D0_002701	196	1	1	1	1	0
ENSG00000289528	ENSG00000289528	lncRNA	chr10	21695950	21697122	+	77	283	same_strand	1	D0_010191	96	1	1	1	0	0
ENSG00000291093	SVIL-AS1	lncRNA	chr10	29409401	29561881	+	111	579	same_strand	0		0	0	1	1	1	1
ENSG00000291056	SEPTIN7P9	lncRNA	chr10	38383021	38402940	-	61	299	same_strand	0		0	0	1	1	1	0
ENSG00000293313	ZNF37BP	lncRNA	chr10	42513509	42552900	-	195	1044	same_strand	1	D0_014013	80	1	1	1	1	0
ENSG00000291069	BMS1P1	lncRNA	chr10	46786673	46815125	+	118	644	same_strand	1	D0_020615	19	1	1	1	1	0
ENSG00000290898	AGAP12P	lncRNA	chr10	48006763	48031969	-	52	216	same_strand	1	D0_016358	53	1	1	1	1	0
ENSG00000289444	ENSG00000289444	lncRNA	chr10	48035879	48140480	-	124	527	same_strand	1	D0_015820	70	1	1	1	1	0
ENSG00000291043	ENSG00000291043	lncRNA	chr10	73729430	73744195	+	73	288	same_strand	1	D0_016284	55	1	1	1	1	1
ENSG00000297649	ENSG00000297649	lncRNA	chr10	96737493	96751051	+	173	911	same_strand	1	D0_017055	41	1	1	1	1	0
ENSG00000307215	ENSG00000307215	lncRNA	chr10	124083487	124092745	-	87	304	same_strand	1	D0_012891	84	1	1	1	1	0
ENSG00000291144	ENSG00000291144	lncRNA	chr11	4393736	4520905	+	76	260	same_strand	1	D0_020982	18	1	1	1	1	1
ENSG00000291143	ENSG00000291143	lncRNA	chr11	6700309	6746524	-	273	1454	same_strand	1	D0_001411	279	1	1	1	1	1
ENSG00000309351	ENSG00000309351	lncRNA	chr11	58575938	58578949	-	123	692	same_strand	1	D0_020986	18	1	1	1	1	1
ENSG00000293352	RPLP0P2	lncRNA	chr11	61614986	61639449	+	105	345	same_strand	0		0	0	1	0	1	0
ENSG00000305830	ENSG00000305830	lncRNA	chr11	65413310	65422893	-	276	2271	antisense_only	1	D0_000553	472	1	1	1	1	0
ENSG00000290057	ENSG00000290057	lncRNA	chr11	65416553	65422273	+	259	1723	clean	1	D0_000906	361	1	1	1	1	1
ENSG00000291174	FAUP4	lncRNA	chr11	65455191	65472515	+	144	676	same_strand	1	D0_008744	105	1	1	1	1	1
ENSG00000289259	ENSG00000289259	lncRNA	chr11	65471171	65472267	-	66	346	clean	1	D0_003854	163	1	1	1	0	0
ENSG00000289740	TALAM1	lncRNA	chr11	65499044	65507432	-	1657	12487	antisense_only	1	D0_000222	844	1	1	1	1	0
ENSG00000289339	ENSG00000289339	lncRNA	chr11	65575329	65575964	-	86	383	clean	1	D0_007502	114	1	1	1	1	0
ENSG00000305207	ENSG00000305207	lncRNA	chr11	65890075	65890525	-	50	179	clean	1	D0_011244	91	1	1	1	1	0
ENSG00000309414	ENSG00000309414	lncRNA	chr11	68002867	68007028	+	59	210	antisense_only	1	D0_014339	79	1	1	1	1	1
ENSG00000288528	ENSG00000288528	lncRNA	chr11	102315894	102328586	-	128	883	antisense_only	1	D0_003323	176	1	1	1	1	0
ENSG00000288833	ENSG00000288833	lncRNA	chr11	102345145	102347609	-	51	505	antisense_only	1	D0_016105	60	1	1	1	1	0
ENSG00000291173	CASP4LP	lncRNA	chr11	104901547	104919073	-	188	733	same_strand	0		0	0	1	0	1	1
ENSG00000290285	ENSG00000290285	lncRNA	chr12	274820	276722	+	82	537	antisense_only	1	D0_011676	89	1	1	1	0	0
ENSG00000294711	ENSG00000294711	lncRNA	chr12	7963613	7970751	-	86	396	antisense_only	1	D0_005688	133	1	1	1	1	0
ENSG00000294692	ENSG00000294692	lncRNA	chr12	8018747	8027755	+	56	567	antisense_only	1	D0_016062	61	1	1	1	1	1
ENSG00000293488	ENSG00000293488	lncRNA	chr12	9702181	9740383	-	103	203	same_strand	1	D0_021000	18	1	1	1	1	1
ENSG00000309675	ENSG00000309675	lncRNA	chr12	10212649	10213506	-	51	166	antisense_only	0		0	0	1	1	1	0
ENSG00000290048	ENSG00000290048	lncRNA	chr12	12482467	12484149	+	105	552	antisense_only	1	D0_003286	177	1	1	1	1	1
ENSG00000289928	ENSG00000289928	lncRNA	chr12	25385655	25387554	+	109	593	antisense_only	1	D0_003713	166	1	1	1	0	0
ENSG00000288710	ENSG00000288710	protein_coding	chr12	49002273	49024075	-	95	305	same_strand	1	D0_014951	77	1	1	1	1	1
ENSG00000293248	ENSG00000293248	lncRNA	chr12	51124098	51125385	-	70	340	same_strand	0		0	0	1	1	1	0
ENSG00000293491	TMEM198B	lncRNA	chr12	55829607	55836258	+	73	389	same_strand	0		0	0	1	0	1	1
ENSG00000297826	ENSG00000297826	lncRNA	chr12	64663936	64680369	-	99	629	antisense_only	1	D0_001264	298	1	1	1	1	0
ENSG00000289319	ENSG00000289319	lncRNA	chr12	65122766	65169558	-	133	743	antisense_only	1	D0_003428	173	1	1	1	1	0
ENSG00000289283	ENSG00000289283	lncRNA	chr12	70317611	70318920	+	51	124	same_strand	0		0	0	1	1	0	0
ENSG00000289437	ENSG00000289437	lncRNA	chr12	95260098	95261021	+	58	180	same_strand	0		0	0	1	1	1	0
ENSG00000297173	ENSG00000297173	lncRNA	chr12	101876710	101877492	-	66	322	clean	1	D0_005848	131	1	1	1	0	0
ENSG00000288744	ENSG00000288744	lncRNA	chr12	103965892	103966794	+	51	394	same_strand	0		0	0	1	1	1	0
ENSG00000291171	ENSG00000291171	lncRNA	chr12	132084253	132131639	+	102	573	same_strand	0		0	0	1	1	1	1
