event_id	event_type	genes	fully_annotated	min_abs_delta	median_abs_delta	total_usage_denominator
cassette:chr5:39124278-39126004:39126135-39127740:39124278-39127740	cassette	FYB1	False	0.9312483621923441	0.9357756769912574	4311
alt_donor:chr5:39124278-39127740:39126135-39127740	alt_donor	FYB1	True	0.9302153247027064	0.9356143100338314	4266
cassette:chr5:39124278-39125971:39126135-39127740:39124278-39127740	cassette	FYB1	True	0.9265718952890293	0.9330450571873043	4293
alt_acceptor:chr5:39124278-39125997:39124278-39127740	alt_acceptor	FYB1	True	0.9157992856787391	0.927011468374652	6375
cassette:chr5:39124278-39125997:39126135-39127740:39124278-39127740	cassette	FYB1	True	0.9030717086590949	0.9224880988473259	7214
alt_donor:chr16:721941-722308:722083-722308	alt_donor	ANTKMT	True	0.38367823765020026	0.45982098272246086	356
alt_acceptor:chr3:108047292-108049618:108047292-108057476	alt_acceptor	CD47	True	0.29999999999999993	0.48797852474323067	630
cassette:chr10:110130486-110132304:110132400-110133325:110130486-110133325	cassette	ADD3	True	0.2673343605546996	0.30855005967959176	1163
alt_donor:chr10:110130486-110133325:110132400-110133325	alt_donor	ADD3	True	0.26461038961038963	0.33341434918685664	1083
cassette:chr3:108047292-108049618:108055566-108057476:108047292-108057476	cassette	CD47	True	0.19999999999999996	0.45315880598523917	647
alt_acceptor:chr17:6641227-6641752:6641227-6642248	alt_acceptor	TXNDC17	False	0.17000000000000004	0.17712070345846442	727
alt_acceptor:chr12:53295639-53297849:53295639-53298044	alt_acceptor	PFDN5	True	0.16826265389876882	0.18367691626125565	906
alt_donor:chr11:65499423-65499688:65499482-65499688	alt_donor	MALAT1	False	0.16450216450216448	0.24513672534245076	739
cassette:chr12:76450988-76459858:76459895-76487509:76450988-76487509	cassette	OSBPL8	True	0.15789473684210525	0.17524403457239277	732
alt_acceptor:chr3:108047292-108049618:108047292-108051938	alt_acceptor	CD47	True	0.14175133043057572	0.17959107304135696	3359
alt_acceptor:chr12:47206145-47206510:47206145-47209280	alt_acceptor	PCED1B-AS1	True	0.14072717542187213	0.14977574607555633	4532
cassette:chr12:76450988-76459858:76466488-76487509:76450988-76487509	cassette	OSBPL8	False	0.1381349442695482	0.15841200051726367	709
alt_acceptor:chr8:70598011-70598133:70598011-70600018	alt_acceptor	TRAM1	True	0.13713244860785834	0.23323499275695153	474
alt_donor:chr16:722083-722308:722134-722308	alt_donor	ANTKMT	True	0.13552063161030836	0.1951166377482167	1343
alt_acceptor:chr12:76450988-76459858:76450988-76487509	alt_acceptor	OSBPL8	True	0.1340277777777778	0.1643560564613196	703
cassette:chr12:47206145-47206510:47206588-47209280:47206145-47209280	cassette	PCED1B-AS1	True	0.1330884572808695	0.14581719954272226	5550
alt_donor:chr6:31587318-31588517:31587966-31588517	alt_donor	LST1	True	0.13272281346696613	0.1730074226717837	10732
cassette:chr6:31587318-31587815:31587966-31588517:31587318-31588517	cassette	LST1	True	0.1325342465753424	0.17249172050772416	10738
cassette:chr6:31587318-31587580:31587966-31588517:31587318-31588517	cassette	LST1	False	0.1317814731997481	0.17113297008674105	10750
cassette:chr12:25209911-25213113:25215560-25225613:25209911-25225613	cassette	KRAS	True	0.1316823899371069	0.16501677390969588	328
cassette:chr17:5422829-5426235:5426299-5432541:5422829-5432541	cassette	RPAIN	True	0.13163265306122446	0.15687776642832824	512
cassette:chr8:70598011-70598133:70598255-70600018:70598011-70600018	cassette	TRAM1	True	0.12866437045541523	0.2136095611705368	517
cassette:chr6:31587318-31587943:31587966-31588517:31587318-31588517	cassette	LST1	True	0.1254281949934124	0.1676484730246196	11095
alt_donor:chr17:5422829-5432541:5426299-5432541	alt_donor	RPAIN	True	0.12531305903398932	0.17358042873506793	500
cassette:chr6:31587318-31587948:31587966-31588517:31587318-31588517	cassette	LST1	False	0.12401904782241957	0.16787348079553677	10861
cassette:chr20:49280570-49280902:49280964-49289044:49280570-49289044	cassette	ZFAS1	True	0.12343686970552648	0.1321450625164558	23539
cassette:chr3:108047292-108049618:108050602-108051938:108047292-108051938	cassette	CD47	True	0.12129790940766551	0.17226008216850372	3610
alt_donor:chr20:49280570-49289044:49280964-49289044	alt_donor	ZFAS1	True	0.11446036852880959	0.13013219376309498	22457
cassette:chr20:49280570-49280863:49280964-49289044:49280570-49289044	cassette	ZFAS1	True	0.11446036852880959	0.13010410778206233	22461
alt_donor:chr12:47206145-47209280:47206588-47209280	alt_donor	PCED1B-AS1	True	0.11282051282051275	0.1523006504871763	3721
cassette:chr6:31587318-31587640:31587966-31588517:31587318-31588517	cassette	LST1	True	0.11030150753768853	0.1359152815790679	12276
